group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pat02 method 1 verify,,,,,54984688.0,ns,12
pat02 method 1 verify,,,,,53452725.0,ns,12
pat02 method 1 verify,,,,,53990273.0,ns,12
pat02 method 1 verify,,,,,53722225.0,ns,12
pat02 method 1 verify,,,,,53036417.0,ns,12
pat02 method 1 verify,,,,,52624040.0,ns,12
pat02 method 1 verify,,,,,52785481.0,ns,12
pat02 method 1 verify,,,,,52734247.0,ns,12
pat02 method 1 verify,,,,,52812585.0,ns,12
pat02 method 1 verify,,,,,54384225.0,ns,12
pat02 method 1 verify,,,,,52904085.0,ns,12
pat02 method 1 verify,,,,,55347294.0,ns,12
pat02 method 1 verify,,,,,53728050.0,ns,12
pat02 method 1 verify,,,,,54446679.0,ns,12
pat02 method 1 verify,,,,,53749911.0,ns,12
pat02 method 1 verify,,,,,53627732.0,ns,12
pat02 method 1 verify,,,,,53637280.0,ns,12
pat02 method 1 verify,,,,,52596914.0,ns,12
pat02 method 1 verify,,,,,53413538.0,ns,12
pat02 method 1 verify,,,,,53532837.0,ns,12
pat02 method 1 verify,,,,,54595858.0,ns,12
pat02 method 1 verify,,,,,54387933.0,ns,12
pat02 method 1 verify,,,,,57380868.0,ns,12
pat02 method 1 verify,,,,,55537189.0,ns,12
pat02 method 1 verify,,,,,54882713.0,ns,12
pat02 method 1 verify,,,,,55040971.0,ns,12
pat02 method 1 verify,,,,,52953744.0,ns,12
pat02 method 1 verify,,,,,52648585.0,ns,12
pat02 method 1 verify,,,,,52868381.0,ns,12
pat02 method 1 verify,,,,,53701523.0,ns,12
pat02 method 1 verify,,,,,57628140.0,ns,12
pat02 method 1 verify,,,,,55651002.0,ns,12
pat02 method 1 verify,,,,,56776375.0,ns,12
pat02 method 1 verify,,,,,55698534.0,ns,12
pat02 method 1 verify,,,,,54770000.0,ns,12
pat02 method 1 verify,,,,,54829512.0,ns,12
pat02 method 1 verify,,,,,52753570.0,ns,12
pat02 method 1 verify,,,,,53550241.0,ns,12
pat02 method 1 verify,,,,,53665455.0,ns,12
pat02 method 1 verify,,,,,52883697.0,ns,12
pat02 method 1 verify,,,,,52901592.0,ns,12
pat02 method 1 verify,,,,,52781795.0,ns,12
pat02 method 1 verify,,,,,52861539.0,ns,12
pat02 method 1 verify,,,,,53483857.0,ns,12
pat02 method 1 verify,,,,,52482144.0,ns,12
pat02 method 1 verify,,,,,52609379.0,ns,12
pat02 method 1 verify,,,,,52592249.0,ns,12
pat02 method 1 verify,,,,,52691934.0,ns,12
pat02 method 1 verify,,,,,55848833.0,ns,12
pat02 method 1 verify,,,,,52898563.0,ns,12
pat02 method 1 verify,,,,,54116627.0,ns,12
pat02 method 1 verify,,,,,54795982.0,ns,12
pat02 method 1 verify,,,,,52917564.0,ns,12
pat02 method 1 verify,,,,,52805552.0,ns,12
pat02 method 1 verify,,,,,52542432.0,ns,12
pat02 method 1 verify,,,,,53091643.0,ns,12
pat02 method 1 verify,,,,,52536414.0,ns,12
pat02 method 1 verify,,,,,53978129.0,ns,12
pat02 method 1 verify,,,,,53789927.0,ns,12
pat02 method 1 verify,,,,,52723657.0,ns,12
pat02 method 1 verify,,,,,53554100.0,ns,12
pat02 method 1 verify,,,,,53059128.0,ns,12
pat02 method 1 verify,,,,,52253693.0,ns,12
pat02 method 1 verify,,,,,52055174.0,ns,12
pat02 method 1 verify,,,,,52157894.0,ns,12
pat02 method 1 verify,,,,,52154476.0,ns,12
pat02 method 1 verify,,,,,52011884.0,ns,12
pat02 method 1 verify,,,,,53781786.0,ns,12
pat02 method 1 verify,,,,,52502322.0,ns,12
pat02 method 1 verify,,,,,66823993.0,ns,12
pat02 method 1 verify,,,,,67030194.0,ns,12
pat02 method 1 verify,,,,,53552075.0,ns,12
pat02 method 1 verify,,,,,52727954.0,ns,12
pat02 method 1 verify,,,,,52203841.0,ns,12
pat02 method 1 verify,,,,,52057639.0,ns,12
pat02 method 1 verify,,,,,51967631.0,ns,12
pat02 method 1 verify,,,,,54900370.0,ns,12
pat02 method 1 verify,,,,,52558450.0,ns,12
pat02 method 1 verify,,,,,53558167.0,ns,12
pat02 method 1 verify,,,,,53603970.0,ns,12
pat02 method 1 verify,,,,,52806220.0,ns,12
pat02 method 1 verify,,,,,52722444.0,ns,12
pat02 method 1 verify,,,,,52750784.0,ns,12
pat02 method 1 verify,,,,,52846309.0,ns,12
pat02 method 1 verify,,,,,53248782.0,ns,12
pat02 method 1 verify,,,,,54055711.0,ns,12
pat02 method 1 verify,,,,,52539506.0,ns,12
pat02 method 1 verify,,,,,53233577.0,ns,12
pat02 method 1 verify,,,,,53200654.0,ns,12
pat02 method 1 verify,,,,,53429723.0,ns,12
pat02 method 1 verify,,,,,53377375.0,ns,12
pat02 method 1 verify,,,,,53702873.0,ns,12
pat02 method 1 verify,,,,,53570798.0,ns,12
pat02 method 1 verify,,,,,53802956.0,ns,12
pat02 method 1 verify,,,,,53698897.0,ns,12
pat02 method 1 verify,,,,,55685648.0,ns,12
pat02 method 1 verify,,,,,52473241.0,ns,12
pat02 method 1 verify,,,,,53679309.0,ns,12
pat02 method 1 verify,,,,,53176037.0,ns,12
pat02 method 1 verify,,,,,52593386.0,ns,12
